x	y	showSelected1
1580322600	0	Kerala
1580409000	0	Kerala
1580495400	0	Kerala
1580581800	0	Kerala
1580668200	0	Kerala
1580754600	0	Kerala
1580841000	0	Kerala
1580927400	0	Kerala
1581013800	0	Kerala
1581100200	0	Kerala
1581186600	0	Kerala
1581273000	0	Kerala
1581359400	0	Kerala
1581445800	0	Kerala
1581532200	0	Kerala
1581618600	0	Kerala
1581705000	0	Kerala
1581791400	0	Kerala
1581877800	0	Kerala
1581964200	0	Kerala
1582050600	0	Kerala
1582137000	0	Kerala
1582223400	0	Kerala
1582309800	0	Kerala
1582396200	0	Kerala
1582482600	0	Kerala
1582569000	0	Kerala
1582655400	0	Kerala
1582741800	0	Kerala
1582828200	0	Kerala
1582914600	0	Kerala
1583001000	0	Kerala
1583087400	0	Telengana
1583087400	0	Kerala
1583087400	0	Delhi
1583173800	0	Telengana
1583173800	0	Rajasthan
1583173800	0	Kerala
1583173800	0	Delhi
1583260200	0	Uttar Pradesh
1583260200	0	Kerala
1583260200	0	Haryana
1583260200	0	Delhi
1583260200	0	Telengana
1583260200	0	Rajasthan
1583346600	0	Delhi
1583346600	0	Haryana
1583346600	0	Kerala
1583346600	0	Rajasthan
1583346600	0	Telengana
1583346600	0	Uttar Pradesh
1583433000	0	Delhi
1583433000	0	Haryana
1583433000	0	Kerala
1583433000	0	Rajasthan
1583433000	0	Uttar Pradesh
1583433000	0	Telengana
1583519400	0	Kerala
1583519400	0	Uttar Pradesh
1583519400	0	Ladakh
1583519400	0	Telengana
1583519400	0	Tamil Nadu
1583519400	0	Delhi
1583519400	0	Haryana
1583519400	0	Rajasthan
1583605800	0	Ladakh
1583605800	0	Telengana
1583605800	0	Tamil Nadu
1583605800	0	Rajasthan
1583605800	0	Kerala
1583605800	0	Haryana
1583605800	0	Delhi
1583605800	0	Uttar Pradesh
1583692200	0	Ladakh
1583692200	0	Karnataka
1583692200	0	Kerala
1583692200	0	Maharashtra
1583692200	0	Punjab
1583692200	0	Rajasthan
1583692200	0	Tamil Nadu
1583692200	0	Telengana
1583692200	0	Jammu and Kashmir
1583692200	0	Uttar Pradesh
1583692200	0	Haryana
1583692200	0	Delhi
1583778600	0	Uttar Pradesh
1583778600	0	Ladakh
1583778600	0	Delhi
1583778600	0	Haryana
1583778600	0	Karnataka
1583778600	0	Kerala
1583778600	0	Maharashtra
1583778600	0	Punjab
1583778600	0	Rajasthan
1583778600	0	Tamil Nadu
1583778600	0	Telengana
1583778600	0	Jammu and Kashmir
1583865000	0	Maharashtra
1583865000	0	Delhi
1583865000	0	Haryana
1583865000	0	Kerala
1583865000	0	Rajasthan
1583865000	0	Telengana
1583865000	0	Uttar Pradesh
1583865000	0	Ladakh
1583865000	0	Tamil Nadu
1583865000	0	Jammu and Kashmir
1583865000	0	Punjab
1583865000	0	Karnataka
1583951400	0	Delhi
1583951400	0	Haryana
1583951400	0	Kerala
1583951400	0	Rajasthan
1583951400	0	Telengana
1583951400	0	Uttar Pradesh
1583951400	0	Ladakh
1583951400	0	Tamil Nadu
1583951400	0	Jammu and Kashmir
1583951400	0	Punjab
